Severity Factor (Ro),Bark_Binary,Pretreatment_Time (h),Chemical,Chemical_Concentration (%),Raw_lignin,Lignin_Content,Lignin_Removeal (%)
4.25,1,12,NaOH,0.5,48.19476648,27.85944336,20.33532312
4.25,1,24,NaOH,0.5,48.19476648,23.83303059,24.36173589
4.25,0,12,NaOH,0.5,46.77734375,31.91,14.86734375
4.25,0,24,NaOH,0.5,46.77734375,29.09831701,17.67902674
4.73,1,12,NaOH,0.5,43.95424837,30.55803982,13.39620855
4.73,1,24,NaOH,0.5,43.95424837,33.63938093,10.31486744
4.73,0,12,NaOH,0.5,47.16242661,29.49374156,17.66868505
4.73,0,24,NaOH,0.5,47.16242661,28.64100771,18.5214189
4.95,1,12,NaOH,0.5,44.17604236,25.2676704,18.90837196
4.95,1,24,NaOH,0.5,44.17604236,27.38959181,16.78645055
4.95,0,12,NaOH,0.5,48.50260417,32.5051701,15.99743407
4.95,0,24,NaOH,0.5,48.50260417,32.90389471,15.59870946
4.25,1,12,NaOH,1,48.19476648,34.65056911,13.54419737
4.25,1,24,NaOH,1,48.19476648,33.82023529,14.37453119
4.25,0,12,NaOH,1,46.77734375,31.65253553,15.12480822
4.25,0,24,NaOH,1,46.77734375,32.53847747,14.23886628
4.73,1,12,NaOH,1,43.95424837,32.11655857,11.8376898
4.73,1,24,NaOH,1,43.95424837,32.68566593,11.26858244
4.73,0,12,NaOH,1,47.16242661,34.8976444,12.26478221
4.73,0,24,NaOH,1,47.16242661,32.27774483,14.88468178
4.95,1,12,NaOH,1,44.17604236,30.55304604,13.62299632
4.95,1,24,NaOH,1,44.17604236,29.99599379,14.18004857
4.95,0,12,NaOH,1,48.50260417,33.23600414,15.26660003
4.95,0,24,NaOH,1,48.50260417,32.64496684,15.85763733
4.25,1,12,NaOH,2,48.19476648,33.5455514,14.64921508
4.25,1,24,NaOH,2,48.19476648,32.63673471,15.55803177
4.25,0,12,NaOH,2,46.77734375,30.00597178,16.77137197
4.25,0,24,NaOH,2,46.77734375,32.19920522,14.57813853
4.73,1,12,NaOH,2,43.95424837,31.69387987,12.2603685
4.73,1,24,NaOH,2,43.95424837,30.3116311,13.64261727
4.73,0,12,NaOH,2,47.16242661,32.52430473,14.63812188
4.73,0,24,NaOH,2,47.16242661,30.35681558,16.80561103
4.95,1,12,NaOH,2,44.17604236,29.77325133,14.40279103
4.95,1,24,NaOH,2,44.17604236,29.82342736,14.352615
4.95,0,12,NaOH,2,48.50260417,31.99633804,16.50626613
4.95,0,24,NaOH,2,48.50260417,31.48426543,17.01833874
